Date,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,Weather,Month,Weather_Label,Target_Next_Day_Label
2009-02-21,0.9508648034955756,0.33921857095974517,0.5070765392691179,0.3456945849427026,-0.5663251087222861,-1.524356672289688,-1.5285576415901458,0.017973062303067017,,Clear,2,0,13.0
2009-02-22,1.0227147162999035,0.18224453979924288,-0.11953385791491625,-0.3507757252622027,-0.5663251087222861,-1.7168628312158665,-0.848540644050401,-0.5238218020198517,,Partly cloudy,2,13,0.0
2009-02-23,0.7353150650825915,0.07759518569224134,-0.5249876443281148,-0.634522888679016,-0.5663251087222861,-1.5604515770883463,-0.6108648002501017,-0.16262522580457256,,Clear,2,0,0.0
2009-02-24,0.8790148906912475,0.18224453979924288,-0.008955552529498447,-0.1702093485424124,-0.5022414628918893,-1.608578116819891,-1.2116565165230802,-0.28302408454299893,,Clear,2,0,17.0
2009-02-25,0.8071649778869195,0.23456921685274365,0.39649823388370015,0.08774261820014512,-0.5663251087222861,-1.39200868802794,-1.3767091858288436,-0.22282465517378575,,Sunny,2,17,13.0
2009-02-26,1.0945646291042315,0.23456921685274365,0.10162275285591935,-0.14441415186815665,-0.5663251087222861,-1.8251475456118418,-0.5514458393000269,-0.10242579643535936,,Partly cloudy,2,13,13.0
2009-02-27,0.08866584984363958,-0.5503009389497678,-0.11953385791491625,-0.3249805285879469,-0.4381578170614925,-0.8987116557796078,0.6699439135626217,-0.22282465517378575,,Partly cloudy,2,13,13.0
2009-02-28,-1.5638821446559044,-1.7537685111802854,-1.1884574766406215,-1.150426822164131,0.39492957873366696,0.7616539649586818,1.3829714449635193,0.07817249167228021,,Partly cloudy,2,13,13.0
2009-03-01,-0.3424336269823284,-0.6549502930567694,-0.37754990381422443,-0.24759493856517967,-0.5663251087222861,-0.5377626077930231,-0.366586849677572,-0.04222636706614617,,Partly cloudy,3,13,0.0
2009-03-02,0.44791541386527955,-0.18402819957526248,0.24906049336980973,0.13933301154865663,-0.5663251087222861,-1.4040403229608263,-1.1786459826619275,0.017973062303067017,,Clear,3,0,13.0
2009-03-03,0.016815937039311588,-0.5503009389497678,0.6176548446545357,0.44887537163972563,-0.5663251087222861,-0.994964735242697,-0.3137699954997277,0.07817249167228021,,Partly cloudy,3,13,13.0
2009-03-04,0.44791541386527955,-0.1317035225217617,-0.008955552529498447,-0.1186189551939009,-0.4381578170614925,-0.9829331003098108,-0.0034709772048926533,-0.16262522580457256,,Partly cloudy,3,13,13.0
2009-03-05,-0.27058371417800037,0.025270508638740585,-1.3727546522829845,-1.4857643789294557,0.53911778185206,0.4127365519049832,-0.023277297521584254,0.07817249167228021,,Partly cloudy,3,13,13.0
2009-03-06,-0.0550339757650164,0.4438679250667467,-0.967300865869786,-0.8666796587473177,0.21869955270007563,0.5450845361667309,-0.5910584799334101,0.318970209149133,,Partly cloudy,3,13,13.0
2009-03-07,-0.4142835397866564,-0.07937884546826095,-0.11953385791491625,0.03615222485163361,0.44299231310646464,0.8338437745559987,1.0396618928075316,0.8005656441028385,,Partly cloudy,3,13,0.0
2009-03-08,-0.4142835397866564,-0.23635287662876325,-0.15639329304338884,-0.04123336517113364,0.01042770375128573,0.5089896313680724,-0.010073083977123186,0.6199673559951989,,Clear,3,0,13.0
2009-03-09,-0.1268838885693444,-0.18402819957526248,-0.5249876443281148,-0.45395651195922565,-0.35805325977349634,0.06381913885128468,0.41246174944563097,1.0413633615796913,,Partly cloudy,3,13,17.0
2009-03-10,0.5197653266696075,0.4961926021202475,-0.15639329304338884,-0.3249805285879469,-0.5663251087222861,-1.1513759893702171,-1.4031176129177658,1.1015627909489045,,Sunny,3,17,13.0
2009-03-11,0.7353150650825915,0.23456921685274365,-0.30383103355727925,-0.3507757252622027,-0.5503041972646869,-1.4160719578937124,-0.3137699954997277,0.5597679266259857,,Partly cloudy,3,13,13.0
2009-03-12,1.0945646291042315,0.39154324801324597,-0.41440933894269705,-0.6087276920047602,-0.5503041972646869,-1.3438821482963956,-0.5250374122111048,0.7403662147336253,,Partly cloudy,3,13,13.0
2009-03-13,1.0227147162999035,0.12991986274574213,-0.8935819956128408,-0.9956556421185965,-0.5663251087222861,-1.7168628312158665,-0.4326079173998773,1.1015627909489045,,Partly cloudy,3,13,13.0
2009-03-14,0.37606550106095155,-0.3410022307357648,-0.8198631253558956,-0.9182700520958292,-0.5503041972646869,-1.2837239736319648,0.04934587697295161,1.3423605084257573,,Partly cloudy,3,13,13.0
2009-03-15,0.5197653266696075,-0.3410022307357648,-1.2253169117690943,-1.3051980022096654,-0.5503041972646869,-1.6567046565514356,-0.13551311264950333,0.8607650734720517,,Partly cloudy,3,13,13.0
2009-03-16,0.5916152394739356,-0.18402819957526248,-1.0778791712552038,-1.2278124121868983,-0.5663251087222861,-1.6326413866856633,0.425665962990092,0.5597679266259857,,Partly cloudy,3,13,1.0
2009-03-17,0.8790148906912475,0.07759518569224134,0.35963879875522753,0.16512820822291235,-0.39009508268869475,-1.3318505133635095,1.1849082417966033,0.1383719210414934,,Cloudy,3,1,13.0
2009-03-18,0.7353150650825915,0.2868938939062444,0.21220105824133714,0.06194742152588936,-0.47019963997669084,-0.9709014653769247,-0.20153418037180865,0.2587707797799198,,Partly cloudy,3,13,0.0
2009-03-19,0.7353150650825915,0.12991986274574213,0.06476331772744674,-0.14441415186815665,-0.5663251087222861,-1.0430912749742416,-0.564650052844488,-0.04222636706614617,,Clear,3,0,0.0
2009-03-20,1.0945646291042315,0.39154324801324597,0.9493897608107891,0.47467056831398136,-0.5663251087222861,-1.223565798967534,-1.3370965451954604,0.07817249167228021,,Clear,3,0,0.0
2009-03-21,0.6634651522782635,0.07759518569224134,0.10162275285591935,-0.24759493856517967,-0.5663251087222861,-1.23559743390042,-0.96077645917832,0.2587707797799198,,Clear,3,0,0.0
2009-03-22,0.5916152394739356,0.2868938939062444,-0.59870651458506,-0.737703675376039,-0.47019963997669084,-0.9227749256453801,-0.1553194329661949,0.49956849725677255,,Clear,3,0,13.0
2009-03-23,0.9508648034955756,0.33921857095974517,-0.5249876443281148,-0.6861132820275274,-0.5663251087222861,-1.295755608564851,-0.24114682100519186,0.49956849725677255,,Partly cloudy,3,13,13.0
2009-03-24,1.0945646291042315,0.5485172791737483,-0.37754990381422443,-0.5571372986562487,-0.5663251087222861,-1.379977053095054,0.2540111869120982,0.6801667853644121,,Partly cloudy,3,13,13.0
2009-03-25,1.3101143675172156,0.9671146956017544,-0.8567225604843682,-1.047246035467108,-0.45417872851909163,-1.3438821482963956,-0.26095314132188346,0.8607650734720517,,Partly cloudy,3,13,13.0
2009-03-26,0.8790148906912475,0.025270508638740585,0.17534162311286455,-0.0670285618453894,-0.5663251087222861,-1.54841994215546,-0.3203721022719583,0.6801667853644121,,Partly cloudy,3,13,0.0
2009-03-27,1.0945646291042315,0.5485172791737483,0.4333576690121727,0.11353781487440086,-0.5663251087222861,-1.5002934024239156,-1.3172902248787688,0.981163932210478,,Clear,3,0,13.0
2009-03-28,0.8790148906912475,0.33921857095974517,-0.8935819956128408,-0.9956556421185965,-0.3260114368582979,-1.0190280051084692,-0.06949204492719799,0.6801667853644121,,Partly cloudy,3,13,13.0
2009-03-29,1.4538141931258715,0.8624653414947528,-1.0778791712552038,-1.150426822164131,-0.5663251087222861,-1.6927995613500941,-0.8683469643670926,0.1383719210414934,,Partly cloudy,3,13,13.0
2009-03-30,1.1664145419085594,0.5485172791737483,-0.4881282091996422,-0.634522888679016,-0.5663251087222861,-1.7288944661487524,-0.43921002417210786,-0.04222636706614617,,Partly cloudy,3,13,0.0
2009-03-31,0.8790148906912475,0.39154324801324597,-0.37754990381422443,-0.5829324953305044,-0.4381578170614925,-1.1273127195044448,-0.5514458393000269,-0.28302408454299893,,Clear,3,0,13.0
2009-04-01,0.3042155882566236,-0.07937884546826095,-0.5249876443281148,-0.5313421019819929,-0.21386505665510333,-0.8746483859138354,0.036141663428490546,-0.04222636706614617,,Partly cloudy,4,13,13.0
2009-04-02,0.44791541386527955,-0.027054168414760184,-0.37754990381422443,-0.5055469053077372,0.01042770375128573,-0.7182371317863154,0.6963523406515438,0.017973062303067017,,Partly cloudy,4,13,13.0
2009-04-03,0.37606550106095155,0.4438679250667467,-0.41440933894269705,-0.4281613152849699,0.5070759589368615,-0.14071865500777997,-0.4260058106276468,0.1985713504107066,,Partly cloudy,4,13,13.0
2009-04-04,0.6634651522782635,0.8101406644412521,-0.8198631253558956,-0.8150892653988062,0.1546159068696787,-0.45354116326282,-0.6306711205667933,0.318970209149133,,Partly cloudy,4,13,13.0
2009-04-05,0.37606550106095155,0.7578159873877514,-0.4512687740711696,-0.3507757252622027,0.2827831985304724,0.08788240871705699,-0.4061994903109552,0.1985713504107066,,Partly cloudy,4,13,13.0
2009-04-06,-0.4142835397866564,-0.1317035225217617,-0.8567225604843682,-0.6861132820275274,1.7406861411720014,0.7375906950929094,0.7953839422350019,-0.10242579643535936,,Partly cloudy,4,13,13.0
2009-04-07,-0.0550339757650164,-0.027054168414760184,-0.8567225604843682,-0.9698604454443407,-0.10171867645190877,0.06381913885128468,0.18138801241756228,0.017973062303067017,,Partly cloudy,4,13,13.0
